id,m2_construit,nb_pieces,nb_sdb,nb_etages,prix_achat,prix_achat_m2,type_maison,travaux_necessaire,annee_construction,ascenseur,jardin,piscine,terrace,balcon,salle_rangement,espace_vert,parking,num_quartier
21742,64,2,1,0,85000,1328,appartement,0,1960.0,1,0,0,0,0,0,0,0,21
21741,70,3,1,0,129900,1856,appartement,1,2077.0,1,0,0,1,0,0,0,0,21
21740,94,2,2,0,144247,1535,appartement,0,2077.0,1,0,0,0,0,1,0,0,21
21739,64,2,1,0,109900,1717,appartement,0,1955.0,1,0,0,0,0,1,0,0,21
21738,108,2,2,0,260000,2407,appartement,0,2003.0,1,0,1,0,0,1,1,1,21
21737,126,4,2,0,195000,1548,appartement,0,1981.0,1,0,0,1,1,0,0,1,21
21736,120,5,2,0,190000,1583,appartement,0,2077.0,1,0,1,1,1,1,1,1,21
21735,125,3,2,0,198500,1588,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21734,84,3,2,0,212000,2524,appartement,0,2077.0,1,0,1,0,0,1,1,1,21
21733,85,2,1,0,131400,1546,appartement,1,1950.0,1,0,0,1,0,0,0,0,21
21732,69,2,2,0,118000,1710,appartement,1,1963.0,1,0,0,1,0,0,0,0,21
21731,122,3,2,0,246900,2024,appartement,0,2077.0,1,0,1,0,0,1,1,1,21
21730,123,3,2,0,195000,1585,appartement,0,1992.0,1,0,0,0,0,0,0,0,21
21729,109,3,2,0,205000,1881,appartement,0,1983.0,1,0,0,1,0,1,0,0,21
21728,64,3,1,0,72000,1125,appartement,0,1960.0,1,0,0,1,0,0,0,0,21
21727,115,3,1,0,160000,1391,appartement,0,2077.0,0,0,0,1,0,1,0,0,21
21726,115,3,1,0,184900,1608,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21725,65,3,1,0,90000,1385,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21724,75,3,1,0,129900,1732,appartement,1,2077.0,1,0,0,1,0,0,0,0,21
21723,60,2,1,0,94900,1582,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21722,60,2,1,0,89900,1498,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21721,95,4,2,0,144900,1525,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21720,76,3,1,0,110000,1447,appartement,1,2077.0,1,0,0,1,0,0,0,0,21
21719,51,2,1,0,93000,1824,appartement,0,2077.0,0,0,0,0,0,0,0,0,21
21718,134,3,2,0,130000,970,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21717,62,2,1,0,104000,1677,appartement,0,2077.0,0,0,0,1,0,0,0,0,21
21716,75,3,1,0,138000,1840,appartement,0,1984.0,1,0,0,1,0,0,0,1,21
21715,112,4,2,0,280000,2500,appartement,0,2077.0,1,0,1,0,0,1,1,1,21
21714,65,3,1,0,150000,2308,appartement,1,1976.0,1,0,1,0,0,0,0,0,21
21713,70,2,1,0,145900,2084,appartement,0,1968.0,1,0,0,1,1,0,0,0,21
21712,75,1,1,0,92500,1233,appartement,0,2008.0,1,0,0,0,1,0,0,0,21
21711,123,3,2,0,298000,2423,appartement,0,2002.0,1,0,1,0,0,1,0,1,21
21710,61,3,1,0,99900,1638,appartement,0,2077.0,0,0,0,1,0,0,0,0,21
21709,72,2,1,0,138000,1917,appartement,0,2077.0,1,0,0,0,1,0,0,1,21
21708,61,3,1,0,100000,1639,appartement,0,1966.0,1,0,0,0,1,0,0,0,21
21707,71,3,1,0,131400,1851,appartement,1,1980.0,1,0,0,1,0,0,0,0,21
21706,87,3,1,0,96000,1103,appartement,1,2077.0,1,0,0,1,0,0,0,0,21
21705,60,2,1,0,154000,2567,appartement,0,2077.0,1,0,0,1,0,0,0,0,21
21704,78,4,1,0,146700,1881,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21703,52,1,1,0,92500,1779,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21702,125,3,3,0,275000,2200,duplex,0,2004.0,1,0,1,1,0,1,0,0,21
21700,97,2,2,0,266122,2744,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21699,93,2,2,0,228273,2455,appartement,0,2077.0,1,0,1,1,0,0,1,0,21
21698,103,4,2,0,171900,1669,appartement,0,2077.0,1,0,0,0,0,1,0,0,21
21697,83,2,2,0,228273,2750,penthouse,0,2020.0,1,0,1,1,0,1,1,1,21
21696,45,2,1,0,85000,1889,appartement,1,1968.0,1,0,0,0,1,0,0,0,21
21695,120,3,2,0,298000,2483,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21694,74,3,1,0,139000,1878,appartement,0,2077.0,1,0,0,0,0,1,0,0,21
21693,125,3,2,0,272500,2180,duplex,0,2004.0,1,0,1,1,0,1,1,0,21
21692,126,4,2,0,275000,2183,appartement,0,2077.0,1,0,1,1,0,1,1,1,21
21691,158,3,2,0,289000,1829,penthouse,0,2003.0,1,0,1,1,0,1,1,1,21
21690,65,2,1,0,115000,1769,appartement,0,2077.0,1,0,0,0,0,0,0,0,21
21689,108,3,2,0,179000,1657,appartement,0,1978.0,1,0,0,1,0,0,0,0,21
21688,62,2,1,0,123000,1984,appartement,0,1984.0,1,0,0,0,0,0,0,0,21
21687,51,2,1,0,89500,1755,appartement,1,1967.0,1,0,0,1,0,0,0,0,21
21686,112,3,2,0,289000,2580,appartement,0,2013.0,1,0,1,0,0,1,1,1,21
21685,109,3,2,0,216278,1984,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
21684,107,3,2,0,207503,1939,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
21683,76,2,2,0,162793,2142,appartement,0,2077.0,1,0,1,0,0,1,0,1,21
21682,105,3,2,0,204999,1952,appartement,0,2077.0,1,0,1,1,0,1,0,1,21
